channel =  1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59
rate =  4.46749 0.49228 0.07033 0.05274 0.56260 1.35376 0.15823 0.01758 0.01758 0.61534 0.47469 0.24614 6.59114 0.75599 0.17581 0.01758 0.91423 0.80874 0.24614 0.03516 0.65051 0.52744 0.26372 1.63322 0.22856 0.08791 0.17581 0.58018 3.20348 0.40437 0.05274 0 0.89849 0.70325 0.03516 0 0 0.28130 0.19339 0.26372 2.37531 0.19339 0.07033 0.61719 0.42195 0.15823 0 0.40437 0.43953 0.38679 0.07033 0.01758 0.24614 0.10549 0 0.12123 0.01758 0.01758 0
cs_event =  254 28 4 3 32 77 9 1 1 35 27 14 375 43 10 1 52 46 14 2 37 30 15 93 13 5 10 33 182 23 3 0 51 40 2 0 0 16 11 15 135 11 4 35 24 9 0 23 25 22 4 1 14 6 0 7 1 1 0
avg_weight =   0.01759  0.01758  0.01758  0.01758  0.01758  0.01758  0.01758  0.01758  0.01758  0.01758  0.01758  0.01758  0.01758  0.01758  0.01758  0.01758  0.01758  0.01758  0.01758  0.01758  0.01758  0.01758  0.01758  0.01756  0.01758  0.01758  0.01758  0.01758  0.01760  0.01758  0.01758  0.01758  0.01762  0.01758  0.01758  0.00000  0.01758  0.01758  0.01758  0.01758  0.01759  0.01758  0.01758  0.01763  0.01758  0.01758  0.00000  0.01758  0.01758  0.01758  0.01758  0.01758  0.01758  0.01758  0.00000  0.01732  0.01758  0.01758  0.00000
syst_unc_pdf_up =   0.18015  0.02529  0.00925  0.00833  0.01687  0.04884  0.01211  0.00048  0.00029  0.02493  0.02591  0.00739  0.27056  0.02568  0.00863  0.00188  0.02360  0.02403  0.01334  0.00274  0.02244  0.01558  0.02380  0.05055  0.00439  0.00378  0.00234  0.01536  0.11355  0.01589  0.00307  0.00255  0.03915  0.02827  0.00277  0.00216  0.00044  0.01013  0.01613  0.02942  0.08253  0.00153  0.00262  0.01650  0.01200  0.00794  0.00001  0.01363  0.02573  0.00519  0.00441  0.00193  0.00655  0.00368  0.00775  0.00477  0.00163  0.00267  0.00008
syst_unc_pdf_down =   0.18015  0.02529  0.00925  0.00833  0.01687  0.04884  0.01211  0.00048  0.00029  0.02493  0.02591  0.00739  0.27056  0.02568  0.00863  0.00188  0.02360  0.02403  0.01334  0.00274  0.02244  0.01558  0.02380  0.05055  0.00439  0.00378  0.00234  0.01536  0.11355  0.01589  0.00307  0.00255  0.03915  0.02827  0.00277  0.00216  0.00044  0.01013  0.01613  0.02942  0.08253  0.00153  0.00262  0.01650  0.01200  0.00794  0.00001  0.01363  0.02573  0.00519  0.00441  0.00193  0.00655  0.00368  0.00775  0.00477  0.00163  0.00267  0.00008
syst_unc_scale_up =   0.54962  0.03659  0.00774  0.01745  0.01372  0.23969  0.02444  0.00277  0.00354  0.14062  0.05214  0.02002  1.12473  0.09173  0.03193  0.00362  0.17774  0.06924  0.05330  0.00714  0.14485  0.11804  0.04948  0.22642  0.01612  0.00938  0.01844  0.08291  0.44405  0.08149  0.00590  0.01758  0.11925  0.14694  0.00237  0.00257  0.01758  0.03466  0.00328  0.06119  0.18735  0.00614  0.06892  0.05826  0.06471  0.03973  0.00718  0.04269  0.06686  0.07315  0.00538  0.00921  0.05483  0.02684  0.00852  0.02926  0.00384  0.00221  0.00260
syst_unc_scale_down =   0.59283  0.03659  0.00774  0.01229  0.04868  0.24182  0.02259  0.00763  0.00306  0.11178  0.06207  0.02768  1.00090  0.09954  0.02734  0.00996  0.15502  0.09525  0.04253  0.00544  0.11419  0.09360  0.04168  0.22269  0.02286  0.01083  0.02658  0.08123  0.44604  0.06568  0.00628  0.01758  0.11872  0.12329  0.00863  0.00000  0.01758  0.04054  0.01555  0.04758  0.24972  0.01790  0.07033  0.07061  0.06710  0.03190  0.00000  0.04775  0.05670  0.05927  0.00808  0.01758  0.04700  0.01990  0.00000  0.02232  0.01158  0.00221  0.00000
syst_unc_rate_up =  1.34025 0.14768 0.02110 0.01582 0.16878 0.40613 0.04747 0.00527 0.00527 0.18460 0.14241 0.07384 1.97734 0.22680 0.05274 0.00527 0.27427 0.24262 0.07384 0.01055 0.19515 0.15823 0.07912 0.48996 0.06857 0.02637 0.05274 0.17405 0.96104 0.12131 0.01582 0 0.26955 0.21098 0.01055 0 0 0.08439 0.05802 0.07912 0.71259 0.05802 0.02110 0.18516 0.12659 0.04747 0 0.12131 0.13186 0.11604 0.02110 0.00527 0.07384 0.03165 0 0.03637 0.00527 0.00527 0
syst_unc_rate_down =  1.34025 0.14768 0.02110 0.01582 0.16878 0.40613 0.04747 0.00527 0.00527 0.18460 0.14241 0.07384 1.97734 0.22680 0.05274 0.00527 0.27427 0.24262 0.07384 0.01055 0.19515 0.15823 0.07912 0.48996 0.06857 0.02637 0.05274 0.17405 0.96104 0.12131 0.01582 0 0.26955 0.21098 0.01055 0 0 0.08439 0.05802 0.07912 0.71259 0.05802 0.02110 0.18516 0.12659 0.04747 0 0.12131 0.13186 0.11604 0.02110 0.00527 0.07384 0.03165 0 0.03637 0.00527 0.00527 0

