luminosity = 12905.337800
channels = 59
sample = zinv

channel                   =     bin0     bin1     bin2     bin3     bin4     bin5     bin6     bin7     bin8     bin9    bin10    bin11    bin12    bin13    bin14    bin15    bin16    bin17    bin18    bin19    bin20    bin21    bin22    bin23    bin24    bin25    bin26    bin27    bin28    bin29    bin30    bin31    bin32    bin33    bin34    bin35    bin36    bin37    bin38    bin39    bin40    bin41    bin42    bin43    bin44    bin45    bin46    bin47    bin48    bin49    bin50    bin51    bin52    bin53    bin54    bin55    bin56    bin57    bin58

rate                      = 71.24678 14.08559  2.63781  0.85856 10.50175 15.30728  2.95209  1.04260  0.41248  5.42771  6.36332  5.09976 16.60697  3.59579  0.55214  0.17796  2.09320  3.02112  0.60036  0.20640  1.41482  1.90385  1.14391  1.12161  0.43888  0.12811  0.10371  0.52201  8.95759  0.89527  0.16209  0.08556  3.18193  1.58400  0.23510  0.08629  0.20701  1.12352  1.07570  1.40941  1.64184  0.08862  0.06044  0.37152  0.34564  0.06390  0.06678  0.13861  0.40580  0.29687  0.01385  0.04658  0.05956  0.12907  0.17191  0.01253  0.03579  0.04363  0.00409

cs_event                  =     6220     1661      436      136     1080     1237      396      157       63      665      917      785     1407      409       99       28      277      324      107       35      179      247      185      119       49       23       19       83      863      150       30       10      279      180       40       14       35      137      156      211      153       20       11       55       45       10       11       30       67       23        2       10       12       30       27        5        7        2        1
avg_weight                =  0.01145  0.00848  0.00605  0.00631  0.00972  0.01237  0.00745  0.00664  0.00655  0.00816  0.00694  0.00650  0.01180  0.00879  0.00558  0.00636  0.00756  0.00932  0.00561  0.00590  0.00790  0.00771  0.00618  0.00943  0.00896  0.00557  0.00546  0.00629  0.01038  0.00597  0.00540  0.00856  0.01140  0.00880  0.00588  0.00616  0.00591  0.00820  0.00690  0.00668  0.01073  0.00443  0.00549  0.00675  0.00768  0.00639  0.00607  0.00462  0.00606  0.01291  0.00693  0.00466  0.00496  0.00430  0.00637  0.00251  0.00511  0.02181  0.00409

syst_unc_norm_up          =  0.08301  0.08301  0.08301  0.08301  0.08301  0.08301  0.08301  0.08301  0.08301  0.08301  0.08301  0.08301  0.08301  0.08301  0.08301  0.08301  0.08301  0.08301  0.08301  0.08301  0.08301  0.08301  0.08301  0.08301  0.08301  0.08301  0.08301  0.08301  0.08301  0.08301  0.08301  0.08301  0.08301  0.08301  0.08301  0.08301  0.08301  0.08301  0.08301  0.08301  0.08301  0.08301  0.08301  0.08301  0.08301  0.08301  0.08301  0.08301  0.08301  0.08301  0.08301  0.08301  0.08301  0.08301  0.08301  0.08301  0.08301  0.08301  0.08301
syst_unc_norm_dn          =  0.08301  0.08301  0.08301  0.08301  0.08301  0.08301  0.08301  0.08301  0.08301  0.08301  0.08301  0.08301  0.08301  0.08301  0.08301  0.08301  0.08301  0.08301  0.08301  0.08301  0.08301  0.08301  0.08301  0.08301  0.08301  0.08301  0.08301  0.08301  0.08301  0.08301  0.08301  0.08301  0.08301  0.08301  0.08301  0.08301  0.08301  0.08301  0.08301  0.08301  0.08301  0.08301  0.08301  0.08301  0.08301  0.08301  0.08301  0.08301  0.08301  0.08301  0.08301  0.08301  0.08301  0.08301  0.08301  0.08301  0.08301  0.08301  0.08301
syst_unc_shape_central_up =  0.23667  0.23091  0.47082  0.49432  0.22740  0.22140  0.46623  0.48864  0.56765  0.56527  0.69849  0.71676  0.38370  0.38018  0.55937  0.57719  0.37806  0.37448  0.55551  0.57311  0.64121  0.76099  0.78287  0.38370  0.38018  0.57878  0.37113  0.51526  0.22987  0.22394  0.46744  0.48850  0.22032  0.21413  0.46282  0.48466  0.56485  0.56246  0.69622  0.72294  0.37955  0.37599  0.56036  0.37384  0.37023  0.55979  0.64053  0.63842  0.77957  0.37955  0.40839  0.36803  0.56523  0.22780  0.35863  0.37933  0.47680  0.37651  0.38168
syst_unc_shape_central_dn =  0.23667  0.23091  0.47082  0.49432  0.22740  0.22140  0.46623  0.48864  0.56765  0.56527  0.69849  0.71676  0.38370  0.38018  0.55937  0.57719  0.37806  0.37448  0.55551  0.57311  0.64121  0.76099  0.78287  0.38370  0.38018  0.57878  0.37113  0.51526  0.22987  0.22394  0.46744  0.48850  0.22032  0.21413  0.46282  0.48466  0.56485  0.56246  0.69622  0.72294  0.37955  0.37599  0.56036  0.37384  0.37023  0.55979  0.64053  0.63842  0.77957  0.37955  0.40839  0.36803  0.56523  0.22780  0.35863  0.37933  0.47680  0.37651  0.38168
