luminosity = 36813.715
channels = 84
sample = comb

channel =            bin1    bin2    bin3    bin4    bin5    bin6    bin7    bin8    bin9    bin10   bin11   bin12   bin13   bin14   bin15   bin16   bin17   bin18   bin19   bin20   bin21   bin22   bin23   bin24   bin25   bin26   bin27   bin28   bin29   bin30   bin31   bin32   bin33   bin34   bin35   bin36   bin37   bin38   bin39   bin40   bin41   bin42   bin43   bin44   bin45   bin46   bin47   bin48   bin49   bin50   bin51   bin52   bin53   bin54   bin55   bin56   bin57   bin58   bin59   bin60   bin61   bin62   bin63   bin64   bin65   bin66   bin67   bin68   bin69   bin70   bin71   bin72   bin73   bin74   bin75   bin76   bin77   bin78   bin79   bin80   bin81   bin82   bin83   bin84   

 rate    =           1036.001  44.817   12.617   1.549    1.863    564.721  42.778   8.143    1.106    68.571   54.507   19.265   2.516    0.257    2.826    5.252    7.277    0.000  0.000  1.468    0.527    424.216  26.699   6.674    1.284    1.921    37.953   5.597    1.253    0.000  2.469    5.433    1.928    1.898    0.000  0.000  0.000  66.303   10.477   3.638    1.234    9.453    2.866    1.397    2.470    3.894    1.804    1.119    39.777   6.446    1.713    0.723    25.761   7.447    1.380    0.965    1.610    0.000  35.014   8.515    0.468    0.571    23.670   4.035    1.510    3.271    0.828    0.000  0.000  0.000  8.717    0.480    0.000  4.079    1.006    2.095    1.828    0.000  0.000  0.613    1.310    0.000  0.000  0.000  

# stat_unc_abs_up =   28.994   6.742    4.063    1.801    2.156    20.651   6.739    3.461    1.960    6.928    7.043    4.645    2.347    0.933    1.933    2.700    3.075    1.541    1.948    2.015    1.559    18.869   5.557    3.454    2.646    2.505    5.893    3.451    2.003    1.345    1.950    2.628    1.511    2.280    1.451    2.008    1.172    8.212    4.287    3.403    2.957    3.547    2.457    2.269    4.046    3.049    2.115    1.829    5.127    2.452    1.302    1.967    5.341    3.157    1.644    1.575    2.509    1.236    4.784    2.754    1.583    1.677    4.903    2.816    2.322    2.287    2.474    2.728    1.154    2.168    3.077    2.041    0.415    2.894    1.604    1.952    2.094    1.657    1.938    1.511    1.514    2.061    1.410    1.638  
# stat_unc_abs_dn =   27.902   5.640    2.932    0.794    0.957    19.655   5.590    2.288    0.715    6.107    6.005    3.567    1.149    0.212    1.088    1.686    2.041    0.000  0.000  0.948    0.436    17.782   4.399    2.144    0.829    1.001    4.896    2.012    0.810    0.000  1.027    1.777    0.805    1.033    0.000  0.000  0.000  7.054    2.856    1.666    1.021    2.386    1.372    0.902    1.456    1.630    0.921    0.658    4.384    1.685    0.724    0.598    4.224    2.088    0.703    0.567    1.040    0.000  4.063    1.980    0.387    0.472    3.872    1.553    0.975    1.255    0.685    0.000  0.000  0.000  2.138    0.397    0.000  1.576    0.649    0.958    0.976    0.000  0.000  0.507    0.673    0.000  0.000  0.000  
 stat_unc_up =       0.028    0.150    0.322    1.162    1.157    0.037    0.158    0.425    1.772    0.101    0.129    0.241    0.933    3.634    0.684    0.514    0.423    0.000  0.000  1.372    2.958    0.044    0.208    0.518    2.061    1.304    0.155    0.617    1.599    0.000  0.790    0.484    0.784    1.201    0.000  0.000  0.000  0.124    0.409    0.935    2.397    0.375    0.857    1.625    1.638    0.783    1.172    1.634    0.129    0.380    0.760    2.721    0.207    0.424    1.192    1.632    1.558    0.000  0.137    0.323    3.381    2.937    0.207    0.698    1.538    0.699    2.987    0.000  0.000  0.000  0.353    4.255    0.000  0.709    1.595    0.932    1.146    0.000  0.000  2.466    1.156    0.000  0.000  0.000  
 stat_unc_dn =       0.027    0.126    0.232    0.512    0.514    0.035    0.131    0.281    0.646    0.089    0.110    0.185    0.457    0.827    0.385    0.321    0.280    0.000  0.000  0.646    0.827    0.042    0.165    0.321    0.646    0.521    0.129    0.359    0.646    0.000  0.416    0.327    0.417    0.544    0.000  0.000  0.000  0.106    0.273    0.458    0.827    0.252    0.479    0.646    0.589    0.419    0.510    0.588    0.110    0.261    0.423    0.827    0.164    0.280    0.509    0.587    0.646    0.000  0.116    0.233    0.827    0.827    0.164    0.385    0.646    0.384    0.827    0.000  0.000  0.000  0.245    0.827    0.000  0.386    0.646    0.457    0.534    0.000  0.000  0.827    0.514    0.000  0.000  0.000  

 syst_unc_TF_stat_up = 0.011    0.042    0.087    0.156    0.142    0.014    0.044    0.083    0.170    0.034    0.040    0.075    0.119    0.323    0.165    0.094    0.103    0.201    0.281    0.398    0.222    0.015    0.051    0.098    0.204    0.227    0.043    0.097    0.250    0.258    0.158    0.168    0.168    0.310    0.230    0.347    0.342    0.039    0.085    0.183    0.547    0.069    0.145    0.221    0.197    0.052    0.082    0.209    0.036    0.082    0.186    0.326    0.057    0.102    0.156    0.163    0.281    0.258    0.038    0.087    0.221    0.356    0.064    0.119    0.261    0.140    0.392    0.285    0.342    0.310    0.118    0.310    0.296    0.120    0.261    0.114    0.169    0.114    0.227    0.191    0.187    0.290    0.365    0.266  
 syst_unc_TF_stat_dn = 0.011    0.042    0.087    0.156    0.142    0.014    0.044    0.083    0.170    0.034    0.040    0.075    0.119    0.323    0.165    0.094    0.103    0.201    0.281    0.398    0.222    0.015    0.051    0.098    0.204    0.227    0.043    0.097    0.250    0.258    0.158    0.168    0.168    0.310    0.230    0.347    0.342    0.039    0.085    0.183    0.547    0.069    0.145    0.221    0.197    0.052    0.082    0.209    0.036    0.082    0.186    0.326    0.057    0.102    0.156    0.163    0.281    0.258    0.038    0.087    0.221    0.356    0.064    0.119    0.261    0.140    0.392    0.285    0.342    0.310    0.118    0.310    0.296    0.120    0.261    0.114    0.169    0.114    0.227    0.191    0.187    0.290    0.365    0.266  
