luminosity = 36813.715
channels = 84
sample = comb

channel =            bin1    bin2    bin3    bin4    bin5    bin6    bin7    bin8    bin9    bin10   bin11   bin12   bin13   bin14   bin15   bin16   bin17   bin18   bin19   bin20   bin21   bin22   bin23   bin24   bin25   bin26   bin27   bin28   bin29   bin30   bin31   bin32   bin33   bin34   bin35   bin36   bin37   bin38   bin39   bin40   bin41   bin42   bin43   bin44   bin45   bin46   bin47   bin48   bin49   bin50   bin51   bin52   bin53   bin54   bin55   bin56   bin57   bin58   bin59   bin60   bin61   bin62   bin63   bin64   bin65   bin66   bin67   bin68   bin69   bin70   bin71   bin72   bin73   bin74   bin75   bin76   bin77   bin78   bin79   bin80   bin81   bin82   bin83   bin84   

 rate    =           979.745  49.027   16.544   2.092    2.557    552.655  37.408   7.366    0.000  73.359   47.401   21.171   2.448    0.000  4.691    6.007    9.557    0.000  0.000  2.936    0.000  443.375  30.040   6.414    0.000  1.858    35.381   4.994    2.507    0.000  3.899    10.866   2.404    3.796    0.000  0.000  0.000  66.207   9.589    3.917    2.468    3.243    5.732    0.000  2.167    4.979    1.240    1.231    40.400   7.758    0.555    1.446    26.638   10.898   1.030    0.885    0.000  0.000  40.361   10.316   0.936    1.142    21.374   2.998    3.020    1.231    1.657    0.000  0.000  0.000  6.164    0.000  0.000  3.262    0.000  3.124    2.830    0.000  0.000  1.225    0.811    0.000  0.000  0.000  

# stat_unc_abs_up =   42.057   10.685   6.643    2.759    3.373    30.209   9.301    4.983    2.618    10.456   10.134   7.305    3.229    1.444    3.174    4.064    4.713    1.682    2.588    3.873    1.962    28.772   8.880    5.072    4.067    4.273    8.586    4.858    3.306    1.861    3.083    4.962    2.338    3.693    2.327    3.553    1.676    12.390   6.487    5.167    5.675    4.278    4.532    2.650    4.983    4.843    2.851    2.830    7.560    3.826    1.277    3.325    8.154    4.977    2.368    2.034    2.673    1.306    7.444    4.402    2.153    2.626    7.066    3.954    3.983    2.831    3.810    4.471    1.839    3.823    4.170    3.434    0.569    4.303    1.805    3.039    3.733    2.618    3.230    2.817    1.866    3.623    2.170    3.205  
# stat_unc_abs_dn =   40.359   8.901    4.912    1.351    1.652    28.680   7.582    3.182    0.000  9.218    8.467    5.590    1.581    0.000  2.026    2.595    3.307    0.000  0.000  1.897    0.000  27.067   7.014    3.070    0.000  1.537    7.029    2.718    1.619    0.000  1.866    3.554    1.308    2.066    0.000  0.000  0.000  10.556   4.142    2.530    2.041    2.095    2.743    0.000  1.793    2.710    1.026    1.018    6.441    2.685    0.459    1.196    6.397    3.564    0.852    0.732    0.000  0.000  6.355    3.207    0.774    0.945    5.457    1.936    1.950    1.019    1.371    0.000  0.000  0.000  2.662    0.000  0.000  2.107    0.000  1.700    1.828    0.000  0.000  1.014    0.671    0.000  0.000  0.000  
 stat_unc_up =       0.043    0.218    0.402    1.319    1.319    0.055    0.249    0.677    0.000  0.143    0.214    0.345    1.319    0.000  0.677    0.677    0.493    0.000  0.000  1.319    0.000  0.065    0.296    0.791    0.000  2.300    0.243    0.973    1.319    0.000  0.791    0.457    0.973    0.973    0.000  0.000  0.000  0.187    0.677    1.319    2.300    1.319    0.791    0.000  2.300    0.973    2.300    2.300    0.187    0.493    2.300    2.300    0.306    0.457    2.300    2.300    0.000  0.000  0.184    0.427    2.300    2.300    0.331    1.319    1.319    2.300    2.300    0.000  0.000  0.000  0.677    0.000  0.000  1.319    0.000  0.973    1.319    0.000  0.000  2.300    2.300    0.000  0.000  0.000  
 stat_unc_dn =       0.041    0.182    0.297    0.646    0.646    0.052    0.203    0.432    0.000  0.126    0.179    0.264    0.646    0.000  0.432    0.432    0.346    0.000  0.000  0.646    0.000  0.061    0.233    0.479    0.000  0.827    0.199    0.544    0.646    0.000  0.479    0.327    0.544    0.544    0.000  0.000  0.000  0.159    0.432    0.646    0.827    0.646    0.479    0.000  0.827    0.544    0.827    0.827    0.159    0.346    0.827    0.827    0.240    0.327    0.827    0.827    0.000  0.000  0.157    0.311    0.827    0.827    0.255    0.646    0.646    0.827    0.827    0.000  0.000  0.000  0.432    0.000  0.000  0.646    0.000  0.544    0.646    0.000  0.000  0.827    0.827    0.000  0.000  0.000  

 syst_unc_TF_stat_up = 0.015    0.061    0.120    0.206    0.191    0.020    0.063    0.119    0.179    0.048    0.059    0.109    0.174    0.236    0.195    0.132    0.141    0.280    0.387    0.398    0.246    0.022    0.073    0.143    0.220    0.346    0.063    0.136    0.250    0.370    0.194    0.168    0.233    0.310    0.324    0.485    0.495    0.058    0.126    0.259    0.547    0.088    0.145    0.225    0.318    0.070    0.131    0.328    0.052    0.115    0.213    0.326    0.083    0.132    0.214    0.221    0.275    0.373    0.053    0.122    0.221    0.356    0.094    0.175    0.261    0.177    0.392    0.386    0.492    0.423    0.165    0.364    0.431    0.175    0.264    0.148    0.209    0.163    0.313    0.191    0.261    0.380    0.521    0.310  
 syst_unc_TF_stat_dn = 0.015    0.061    0.120    0.206    0.191    0.020    0.063    0.119    0.179    0.048    0.059    0.109    0.174    0.236    0.195    0.132    0.141    0.280    0.387    0.398    0.246    0.022    0.073    0.143    0.220    0.346    0.063    0.136    0.250    0.370    0.194    0.168    0.233    0.310    0.324    0.485    0.495    0.058    0.126    0.259    0.547    0.088    0.145    0.225    0.318    0.070    0.131    0.328    0.052    0.115    0.213    0.326    0.083    0.132    0.214    0.221    0.275    0.373    0.053    0.122    0.221    0.356    0.094    0.175    0.261    0.177    0.392    0.386    0.492    0.423    0.165    0.364    0.431    0.175    0.264    0.148    0.209    0.163    0.313    0.191    0.261    0.380    0.521    0.310  
