luminosity = 36813.715
channels = 84
sample = comb

channel =            bin1    bin2    bin3    bin4    bin5    bin6    bin7    bin8    bin9    bin10   bin11   bin12   bin13   bin14   bin15   bin16   bin17   bin18   bin19   bin20   bin21   bin22   bin23   bin24   bin25   bin26   bin27   bin28   bin29   bin30   bin31   bin32   bin33   bin34   bin35   bin36   bin37   bin38   bin39   bin40   bin41   bin42   bin43   bin44   bin45   bin46   bin47   bin48   bin49   bin50   bin51   bin52   bin53   bin54   bin55   bin56   bin57   bin58   bin59   bin60   bin61   bin62   bin63   bin64   bin65   bin66   bin67   bin68   bin69   bin70   bin71   bin72   bin73   bin74   bin75   bin76   bin77   bin78   bin79   bin80   bin81   bin82   bin83   bin84   

 rate    =           1092.257  40.607   8.690    1.007    1.168    576.786  48.148   8.921    2.213    63.783   61.614   17.358   2.583    0.513    0.960    4.496    4.998    0.000  0.000  0.000  1.054    405.056  23.358   6.934    2.568    1.985    40.526   6.199    0.000  0.000  1.038    0.000  1.452    0.000  0.000  0.000  0.000  66.399   11.366   3.358    0.000  15.662   0.000  2.793    2.773    2.808    2.369    1.007    39.154   5.134    2.871    0.000  24.883   3.996    1.730    1.046    3.219    0.000  29.667   6.715    0.000  0.000  25.966   5.072    0.000  5.310    0.000  0.000  0.000  0.000  11.269   0.959    0.000  4.896    2.011    1.066    0.826    0.000  0.000  0.000  1.808    0.000  0.000  0.000  

# stat_unc_abs_up =   39.922   8.227    4.681    2.316    2.687    28.167   9.754    4.805    2.919    9.091    9.784    5.738    3.407    1.180    2.208    3.555    3.952    2.581    2.911    1.112    2.424    24.421   6.682    4.691    3.388    2.618    8.073    4.901    2.264    1.944    2.388    1.730    1.915    2.675    1.733    1.873    1.637    10.781   5.605    4.429    1.665    5.660    1.897    3.684    6.376    3.704    3.125    2.317    6.928    3.067    2.270    2.103    6.901    3.887    2.281    2.405    4.246    2.098    6.010    3.311    2.321    2.086    6.800    4.011    2.387    3.592    3.157    3.127    1.396    2.044    4.525    2.205    0.606    3.871    2.652    2.451    1.899    2.030    2.143    1.092    2.384    1.966    1.802    0.683  
# stat_unc_abs_dn =   38.538   6.930    3.205    0.833    0.967    26.884   8.217    3.290    1.429    8.015    8.517    4.431    1.669    0.425    0.794    2.152    2.392    0.000  0.000  0.000  0.872    23.068   5.311    2.995    1.659    1.282    6.817    2.967    0.000  0.000  0.859    0.000  0.938    0.000  0.000  0.000  0.000  9.359    3.933    2.169    0.000  4.287    0.000  1.804    2.294    1.814    1.530    0.833    5.948    2.037    1.374    0.000  5.517    2.175    1.117    0.865    2.079    0.000  5.063    2.324    0.000  0.000  5.494    2.428    0.000  2.294    0.000  0.000  0.000  0.000  3.346    0.793    0.000  2.343    1.299    0.882    0.683    0.000  0.000  0.000  1.168    0.000  0.000  0.000  
 stat_unc_up =       0.037    0.203    0.539    2.300    2.300    0.049    0.203    0.539    1.319    0.143    0.159    0.331    1.319    2.300    2.300    0.791    0.791    0.000  0.000  0.000  2.300    0.060    0.286    0.677    1.319    1.319    0.199    0.791    0.000  0.000  2.300    0.000  1.319    0.000  0.000  0.000  0.000  0.162    0.493    1.319    0.000  0.361    0.000  1.319    2.300    1.319    1.319    2.300    0.177    0.597    0.791    0.000  0.277    0.973    1.319    2.300    1.319    0.000  0.203    0.493    0.000  0.000  0.262    0.791    0.000  0.677    0.000  0.000  0.000  0.000  0.402    2.300    0.000  0.791    1.319    2.300    2.300    0.000  0.000  0.000  1.319    0.000  0.000  0.000  
 stat_unc_dn =       0.035    0.171    0.369    0.827    0.827    0.047    0.171    0.369    0.646    0.126    0.138    0.255    0.646    0.827    0.827    0.479    0.479    0.000  0.000  0.000  0.827    0.057    0.227    0.432    0.646    0.646    0.168    0.479    0.000  0.000  0.827    0.000  0.646    0.000  0.000  0.000  0.000  0.141    0.346    0.646    0.000  0.274    0.000  0.646    0.827    0.646    0.646    0.827    0.152    0.397    0.479    0.000  0.222    0.544    0.646    0.827    0.646    0.000  0.171    0.346    0.000  0.000  0.212    0.479    0.000  0.432    0.000  0.000  0.000  0.000  0.297    0.827    0.000  0.479    0.646    0.827    0.827    0.000  0.000  0.000  0.646    0.000  0.000  0.000  

 syst_unc_TF_stat_up = 0.014    0.057    0.112    0.217    0.176    0.019    0.061    0.114    0.170    0.047    0.055    0.101    0.163    0.323    0.193    0.130    0.134    0.277    0.403    0.440    0.222    0.021    0.068    0.135    0.204    0.298    0.059    0.137    0.254    0.359    0.189    0.155    0.221    0.293    0.318    0.404    0.472    0.054    0.114    0.257    0.451    0.082    0.137    0.221    0.249    0.073    0.105    0.232    0.051    0.112    0.218    0.304    0.076    0.131    0.214    0.236    0.281    0.348    0.052    0.116    0.219    0.380    0.088    0.159    0.258    0.168    0.370    0.416    0.458    0.409    0.159    0.310    0.408    0.162    0.261    0.120    0.212    0.157    0.319    0.284    0.244    0.435    0.503    0.419  
 syst_unc_TF_stat_dn = 0.014    0.057    0.112    0.217    0.176    0.019    0.061    0.114    0.170    0.047    0.055    0.101    0.163    0.323    0.193    0.130    0.134    0.277    0.403    0.440    0.222    0.021    0.068    0.135    0.204    0.298    0.059    0.137    0.254    0.359    0.189    0.155    0.221    0.293    0.318    0.404    0.472    0.054    0.114    0.257    0.451    0.082    0.137    0.221    0.249    0.073    0.105    0.232    0.051    0.112    0.218    0.304    0.076    0.131    0.214    0.236    0.281    0.348    0.052    0.116    0.219    0.380    0.088    0.159    0.258    0.168    0.370    0.416    0.458    0.409    0.159    0.310    0.408    0.162    0.261    0.120    0.212    0.157    0.319    0.284    0.244    0.435    0.503    0.419  

 syst_unc_ISR_up =   0.018    0.015    0.035    0.024    0.028    0.018    0.022    0.024    0.001    0.024    0.016    0.012    0.012    0.004    0.013    0.038    0.032    0.018    0.060    0.030    0.006    0.015    0.018    0.026    0.008    0.097    0.012    0.038    0.005    0.030    0.008    0.028    0.008    0.036    0.020    0.054    0.038    0.009    0.011    0.027    0.062    0.028    0.007    0.007    0.020    0.040    0.024    0.036    0.045    0.024    0.018    0.002    0.032    0.040    0.030    0.029    0.005    0.029    0.042    0.036    0.063    0.035    0.033    0.033    0.022    0.033    0.060    0.020    0.054    0.003    0.036    0.057    0.076    0.034    0.026    0.035    0.025    0.019    0.085    0.006    0.034    0.074    0.023    0.071  
 syst_unc_ISR_dn =   0.025    0.023    0.044    0.034    0.049    0.026    0.033    0.034    0.011    0.034    0.023    0.022    0.027    0.022    0.029    0.049    0.039    0.030    0.101    0.043    0.000    0.020    0.025    0.036    0.012    0.127    0.017    0.062    0.005    0.045    0.020    0.040    0.016    0.043    0.046    0.072    0.055    0.013    0.014    0.037    0.076    0.043    0.013    0.008    0.023    0.058    0.034    0.023    0.067    0.039    0.045    0.006    0.055    0.060    0.056    0.041    0.014    0.028    0.060    0.055    0.083    0.053    0.051    0.050    0.032    0.054    0.111    0.042    0.098    0.002    0.053    0.083    0.077    0.063    0.053    0.067    0.019    0.040    0.154    0.062    0.067    0.119    0.034    0.055  

 syst_unc_bTag_up =  0.000    0.000    0.003    0.007    0.001    0.001    0.003    0.001    0.000    0.001    0.002    0.002    0.006    0.003    0.002    0.003    0.008    0.015    0.006    0.001    0.003    0.001    0.002    0.003    0.004    0.001    0.001    0.002    0.002    0.025    0.005    0.005    0.000    0.009    0.003    0.009    0.008    0.003    0.000    0.002    0.011    0.003    0.005    0.001    0.026    0.002    0.005    0.007    0.000    0.001    0.001    0.001    0.000    0.000    0.001    0.001    0.005    0.005    0.001    0.003    0.000    0.002    0.004    0.002    0.005    0.000    0.009    0.004    0.002    0.001    0.002    0.003    0.006    0.003    0.001    0.001    0.003    0.007    0.000    0.004    0.001    0.003    0.017    0.005  
 syst_unc_bTag_dn =  0.035    0.171    0.369    0.827    0.827    0.047    0.171    0.369    0.646    0.126    0.138    0.255    0.646    0.827    0.827    0.479    0.479    0.015    0.007    0.001    0.827    0.057    0.227    0.432    0.646    0.646    0.168    0.479    0.002    0.026    0.827    0.005    0.646    0.009    0.002    0.009    0.008    0.141    0.346    0.646    0.012    0.274    0.005    0.646    0.827    0.646    0.646    0.827    0.152    0.397    0.479    0.000    0.222    0.544    0.646    0.827    0.646    0.004    0.171    0.346    0.000    0.002    0.212    0.479    0.005    0.432    0.009    0.004    0.001    0.001    0.297    0.827    0.006    0.479    0.646    0.827    0.827    0.007    0.000    0.004    0.646    0.003    0.018    0.005  

 syst_unc_pdfUnc_up = 0.001    0.013    0.002    0.009    0.009    0.000    0.006    0.006    0.001    0.006    0.004    0.003    0.028    0.064    0.004    0.008    0.001    0.035    0.060    0.043    0.012    0.000    0.009    0.007    0.012    0.010    0.002    0.001    0.011    0.003    0.062    0.006    0.011    0.006    0.004    0.023    0.007    0.007    0.005    0.008    0.007    0.001    0.001    0.011    0.028    0.004    0.001    0.004    0.000    0.001    0.010    0.019    0.002    0.001    0.015    0.011    0.006    0.008    0.004    0.001    0.009    0.025    0.002    0.028    0.011    0.011    0.026    0.008    0.028    0.042    0.002    0.008    0.057    0.007    0.017    0.003    0.002    0.018    0.000    0.001    0.011    0.057    0.018    0.027  
 syst_unc_pdfUnc_dn = 0.003    0.006    0.005    0.010    0.005    0.001    0.006    0.009    0.006    0.008    0.006    0.005    0.033    0.132    0.025    0.003    0.001    0.065    0.035    0.069    0.003    0.001    0.010    0.010    0.004    0.060    0.002    0.001    0.016    0.002    0.262    0.005    0.012    0.007    0.006    0.001    0.018    0.009    0.012    0.007    0.003    0.009    0.000    0.012    0.001    0.001    0.009    0.048    0.003    0.001    0.013    0.017    0.001    0.004    0.008    0.017    0.002    0.027    0.004    0.020    0.012    0.043    0.002    0.089    0.017    0.011    0.028    0.011    0.026    0.033    0.002    0.040    0.046    0.006    0.018    0.001    0.011    0.015    0.041    0.052    0.010    0.112    0.007    0.028  

 syst_unc_metMag_up = 0.001    0.019    0.013    0.037    0.164    0.007    0.034    0.025    0.124    0.033    0.043    0.008    0.100    0.268    0.108    0.009    0.042    0.009    0.049    0.037    0.069    0.003    0.019    0.003    0.000    0.106    0.005    0.026    0.008    0.077    0.060    0.069    0.045    0.117    0.225    0.257    0.129    0.040    0.067    0.096    0.083    0.002    0.039    0.046    0.004    0.021    0.022    0.028    0.003    0.057    0.137    0.162    0.030    0.059    0.031    0.108    0.238    0.135    0.018    0.064    0.128    0.035    0.006    0.130    0.002    0.037    0.016    0.150    0.166    0.005    0.055    0.007    0.041    0.014    0.097    0.076    0.022    0.058    0.111    0.058    0.051    0.004    0.107    0.057  
 syst_unc_metMag_dn = 0.001    0.037    0.050    0.119    0.009    0.003    0.014    0.040    0.035    0.009    0.001    0.037    0.025    0.029    0.010    0.084    0.051    0.170    0.151    0.157    0.035    0.004    0.023    0.036    0.002    0.109    0.001    0.020    0.047    0.072    0.056    0.068    0.040    0.005    0.162    0.209    0.129    0.018    0.007    0.019    0.103    0.028    0.012    0.023    0.027    0.013    0.021    0.004    0.007    0.077    0.078    0.042    0.022    0.089    0.348    0.115    0.064    0.143    0.009    0.006    0.044    0.017    0.022    0.107    0.097    0.141    0.032    0.054    0.172    0.109    0.002    0.091    0.127    0.133    0.045    0.012    0.013    0.008    0.030    0.028    0.101    0.016    0.184    0.309  

 syst_unc_metPhi_up = 0.002    0.003    0.015    0.001    0.005    0.005    0.006    0.019    0.005    0.001    0.002    0.000    0.006    0.054    0.036    0.013    0.011    0.003    0.003    0.028    0.019    0.004    0.004    0.018    0.005    0.077    0.002    0.014    0.048    0.009    0.030    0.029    0.027    0.006    0.000    0.147    0.001    0.021    0.005    0.000    0.000    0.002    0.013    0.033    0.014    0.009    0.016    0.006    0.008    0.012    0.073    0.030    0.011    0.029    0.030    0.048    0.000    0.007    0.000    0.020    0.079    0.006    0.027    0.025    0.010    0.068    0.007    0.000    0.049    0.101    0.009    0.000    0.000    0.030    0.051    0.000    0.019    0.015    0.013    0.005    0.007    0.012    0.019    0.005  
 syst_unc_metPhi_dn = 0.003    0.003    0.012    0.050    0.012    0.001    0.002    0.010    0.013    0.004    0.002    0.002    0.015    0.059    0.021    0.011    0.001    0.002    0.034    0.004    0.004    0.006    0.027    0.005    0.002    0.004    0.017    0.016    0.086    0.005    0.074    0.029    0.020    0.000    0.002    0.007    0.001    0.002    0.000    0.000    0.007    0.000    0.039    0.002    0.002    0.003    0.073    0.003    0.014    0.031    0.054    0.002    0.004    0.004    0.004    0.021    0.064    0.007    0.002    0.042    0.010    0.013    0.022    0.055    0.045    0.011    0.005    0.004    0.284    0.026    0.006    0.000    0.000    0.022    0.065    0.141    0.002    0.019    0.002    0.005    0.010    0.022    0.008    0.004  

 syst_unc_jec_up =   0.006    0.014    0.019    0.005    0.047    0.012    0.004    0.006    0.058    0.022    0.018    0.031    0.018    0.149    0.029    0.043    0.024    0.003    0.520    0.150    0.014    0.010    0.002    0.016    0.064    0.018    0.012    0.002    0.029    0.037    0.030    0.028    0.060    0.052    0.025    0.018    0.125    0.020    0.001    0.100    0.104    0.024    0.012    0.012    0.116    0.009    0.002    0.049    0.019    0.002    0.089    0.090    0.017    0.097    0.058    0.072    0.028    0.112    0.029    0.045    0.049    0.107    0.049    0.043    0.107    0.077    0.005    0.091    0.689    0.052    0.084    0.010    0.879    0.024    0.173    0.016    0.041    0.176    0.065    0.145    0.126    0.003    0.000    0.424  
 syst_unc_jec_dn =   0.009    0.003    0.018    0.019    0.139    0.002    0.015    0.083    0.003    0.018    0.006    0.036    0.007    0.055    0.026    0.039    0.007    0.000    0.077    0.020    0.010    0.002    0.015    0.097    0.141    0.003    0.007    0.013    0.127    0.277    0.044    0.005    0.038    0.132    0.033    0.115    0.161    0.010    0.035    0.061    0.055    0.000    0.052    0.020    0.044    0.014    0.014    0.039    0.006    0.042    0.024    0.180    0.008    0.010    0.008    0.041    0.224    0.050    0.025    0.038    0.138    0.099    0.067    0.100    0.025    0.030    0.213    0.241    0.536    0.108    0.031    0.191    0.048    0.044    0.157    0.019    0.122    0.013    0.095    0.152    0.027    0.484    0.026    0.194  

 syst_unc_SF_up =    0.122    0.126    0.111    0.151    0.148    0.127    0.123    0.134    0.136    0.141    0.129    0.128    0.144    0.250    0.156    0.129    0.121    0.148    0.144    0.187    0.158    0.125    0.125    0.121    0.124    0.152    0.126    0.106    0.139    0.127    0.140    0.149    0.193    0.161    0.276    0.127    0.144    0.121    0.116    0.120    0.161    0.123    0.144    0.100    0.105    0.115    0.144    0.130    0.155    0.160    0.214    0.137    0.120    0.127    0.137    0.147    0.108    0.166    0.155    0.162    0.127    0.137    0.129    0.127    0.126    0.127    0.150    0.165    0.142    0.131    0.149    0.175    0.546    0.110    0.145    0.146    0.176    0.134    0.166    0.230    0.165    0.166    0.107    0.210  
 syst_unc_SF_dn =    0.129    0.134    0.118    0.161    0.157    0.135    0.131    0.142    0.145    0.149    0.137    0.136    0.152    0.265    0.166    0.137    0.129    0.157    0.153    0.198    0.168    0.133    0.132    0.129    0.131    0.161    0.134    0.112    0.148    0.135    0.148    0.159    0.205    0.171    0.293    0.134    0.153    0.129    0.123    0.127    0.171    0.131    0.153    0.106    0.111    0.122    0.153    0.138    0.165    0.170    0.228    0.145    0.127    0.134    0.146    0.156    0.115    0.176    0.165    0.172    0.135    0.145    0.137    0.135    0.134    0.135    0.159    0.176    0.150    0.139    0.158    0.185    0.580    0.116    0.154    0.155    0.187    0.143    0.176    0.245    0.175    0.176    0.114    0.223  

## note : for special usage 
# fin_TF_to_mu =      1.360    1.194    1.241    1.007    1.168    1.254    1.416    1.274    1.106    1.012    1.185    1.157    1.292    0.513    0.960    1.124    1.250    1.402    1.581    0.604    1.054    1.315    1.229    1.387    1.284    0.992    1.158    1.550    1.230    1.056    1.038    0.940    0.726    1.453    0.941    1.018    0.889    1.328    1.421    1.679    0.905    1.205    1.031    1.397    2.773    1.404    1.185    1.007    0.911    0.856    0.718    1.142    1.244    1.332    0.865    1.046    1.610    1.139    0.873    0.839    1.261    1.133    1.180    1.268    1.297    1.062    1.715    1.699    0.758    1.110    1.024    0.959    0.329    1.224    1.006    1.066    0.826    1.103    1.164    0.593    0.904    1.068    0.979    0.371  
# fin_TFerr_to_mu =   0.020    0.069    0.139    0.218    0.206    0.023    0.086    0.146    0.188    0.047    0.065    0.117    0.210    0.166    0.185    0.146    0.167    0.388    0.638    0.266    0.235    0.027    0.084    0.187    0.261    0.296    0.069    0.213    0.312    0.379    0.196    0.145    0.161    0.425    0.299    0.411    0.420    0.071    0.163    0.431    0.408    0.099    0.142    0.309    0.690    0.102    0.124    0.234    0.046    0.096    0.156    0.347    0.095    0.175    0.185    0.247    0.453    0.396    0.045    0.097    0.276    0.431    0.104    0.201    0.335    0.178    0.635    0.707    0.347    0.454    0.163    0.298    0.134    0.198    0.262    0.128    0.175    0.173    0.371    0.168    0.220    0.465    0.492    0.155  

# fin_TF_to_ele =     1.663    1.634    1.504    1.046    1.279    1.490    1.559    1.473    1.422    1.164    1.529    1.512    1.224    0.784    0.938    1.201    1.195    0.914    1.406    1.468    1.066    1.654    1.669    1.604    2.209    1.858    1.415    1.665    1.253    1.011    0.975    1.207    0.801    1.265    1.264    1.930    0.910    1.698    1.918    1.959    2.468    1.622    1.433    1.439    2.167    1.660    1.240    1.231    1.036    0.970    0.555    1.446    1.567    1.211    1.030    0.885    1.452    0.710    1.009    1.032    0.936    1.142    1.425    1.499    1.510    1.231    1.657    2.428    0.999    2.077    1.233    1.865    0.309    1.631    0.980    1.041    1.415    1.422    1.754    1.225    0.811    1.968    1.179    1.741  
# fin_TFerr_to_ele =  0.025    0.099    0.180    0.215    0.244    0.029    0.098    0.176    0.255    0.056    0.090    0.164    0.214    0.185    0.183    0.158    0.169    0.255    0.544    0.584    0.262    0.036    0.122    0.229    0.486    0.643    0.089    0.226    0.313    0.374    0.189    0.203    0.187    0.392    0.410    0.935    0.450    0.098    0.242    0.508    1.349    0.142    0.207    0.324    0.689    0.117    0.163    0.404    0.054    0.111    0.118    0.471    0.130    0.159    0.220    0.195    0.399    0.265    0.054    0.126    0.207    0.407    0.134    0.262    0.394    0.218    0.649    0.937    0.491    0.878    0.204    0.679    0.133    0.286    0.258    0.154    0.296    0.231    0.549    0.234    0.212    0.748    0.614    0.540  

