channel                   =     bin0     bin1     bin2     bin3     bin4     bin5     bin6     bin7     bin8     bin9    bin10    bin11    bin12    bin13    bin14    bin15    bin16    bin17    bin18    bin19    bin20    bin21    bin22    bin23    bin24    bin25    bin26    bin27    bin28    bin29    bin30    bin31    bin32    bin33    bin34    bin35    bin36    bin37    bin38    bin39    bin40    bin41    bin42    bin43    bin44    bin45    bin46    bin47    bin48    bin49    bin50    bin51    bin52    bin53    bin54    bin55    bin56    bin57    bin58    bin59    bin60    bin61    bin62    bin63    bin64    bin65    bin66    bin67    bin68    bin69    bin70    bin71    bin72    bin73    bin74    bin75    bin76    bin77    bin78    bin79    bin80    bin81    bin82    bin83

rate                      = 184.96884 16.68315  4.55511  1.44109  2.13626 148.69050 22.22377  5.61504  1.60894 17.46778 35.23508 14.32879  4.24471  0.08176  0.77236  5.85534  8.00268  3.14437  0.01299  0.29859  3.16508 44.60665  5.40677  1.37633  0.50800  0.59841  8.70697  4.39150  1.17721  0.41674  0.38752  2.63893  2.55950  1.23330  0.02998  0.62615  0.71377  2.63465  1.03959  0.29312  0.43234  0.31141  0.11925  0.06491  0.23181  0.09954  0.07466  0.12455  0.83608  0.18472  0.07523  0.05671  1.91108  1.04010  0.26545  0.26491  0.65441  0.51672  0.33022  0.05855  0.02670  0.01042  0.57014  0.08967  0.02937  0.20845  0.07287  0.09446  0.01853  0.08466  0.10344  0.03392  0.00867  0.04594  0.01812  0.01856  0.00956  0.00026  0.01892  0.00143  0.00000  0.02091  0.00000  0.00027

cs_event                  =     3085      645      219       90      119     3055      713      284       98      608     1285      680      249        5       44      303      473      172        1       18      176      841      203       68       29       32      234      150       59       27       27      118      133       67        3       36       38       63       40       14       25       18        6        3       11        6        3        7       60       12        5        4       58       47       18       17       37       33        7        2        3        1       14        5        3        8        6        7        1        4        2        2        1        3        1        1        1        1        1        3        0        1        0        1
avg_weight                =  0.05996  0.02587  0.02080  0.01601  0.01795  0.04867  0.03117  0.01977  0.01642  0.02873  0.02742  0.02107  0.01705  0.01635  0.01755  0.01932  0.01692  0.01828  0.01299  0.01659  0.01798  0.05304  0.02663  0.02024  0.01752  0.01870  0.03721  0.02928  0.01995  0.01543  0.01435  0.02236  0.01924  0.01841  0.00999  0.01739  0.01878  0.04182  0.02599  0.02094  0.01729  0.01730  0.01987  0.02164  0.02107  0.01659  0.02489  0.01779  0.01393  0.01539  0.01505  0.01418  0.03295  0.02213  0.01475  0.01558  0.01769  0.01566  0.04717  0.02928  0.00890  0.01042  0.04072  0.01793  0.00979  0.02606  0.01214  0.01349  0.01853  0.02117  0.05172  0.01696  0.00867  0.01531  0.01812  0.01856  0.00956  0.00026  0.01892  0.00048  0.0187  0.02091  0.0221  0.00027

syst_unc_norm_up          =  0.06800  0.06800  0.06800  0.06800  0.06800  0.06800  0.06800  0.06800  0.06800  0.06800  0.06800  0.06800  0.06800  0.06800  0.06800  0.06800  0.06800  0.06800  0.06800  0.06800  0.06800  0.06800  0.06800  0.06800  0.06800  0.06800  0.06800  0.06800  0.06800  0.06800  0.06800  0.06800  0.06800  0.06800  0.06800  0.06800  0.06800  0.06800  0.06800  0.06800  0.06800  0.06800  0.06800  0.06800  0.06800  0.06800  0.06800  0.06800  0.06800  0.06800  0.06800  0.06800  0.06800  0.06800  0.06800  0.06800  0.06800  0.06800  0.06800  0.06800  0.06800  0.06800  0.06800  0.06800  0.06800  0.06800  0.06800  0.06800  0.06800  0.06800  0.06800  0.06800  0.06800  0.06800  0.06800  0.06800  0.06800  0.06800  0.06800  0.06800  0.06800  0.06800  0.06800  0.06800
syst_unc_norm_dn          =  0.06800  0.06800  0.06800  0.06800  0.06800  0.06800  0.06800  0.06800  0.06800  0.06800  0.06800  0.06800  0.06800  0.06800  0.06800  0.06800  0.06800  0.06800  0.06800  0.06800  0.06800  0.06800  0.06800  0.06800  0.06800  0.06800  0.06800  0.06800  0.06800  0.06800  0.06800  0.06800  0.06800  0.06800  0.06800  0.06800  0.06800  0.06800  0.06800  0.06800  0.06800  0.06800  0.06800  0.06800  0.06800  0.06800  0.06800  0.06800  0.06800  0.06800  0.06800  0.06800  0.06800  0.06800  0.06800  0.06800  0.06800  0.06800  0.06800  0.06800  0.06800  0.06800  0.06800  0.06800  0.06800  0.06800  0.06800  0.06800  0.06800  0.06800  0.06800  0.06800  0.06800  0.06800  0.06800  0.06800  0.06800  0.06800  0.06800  0.06800  0.06800  0.06800  0.06800  0.06800
syst_unc_shape_central_up =  0.13103  0.15556  0.18791  0.25787  0.33075  0.14783  0.19897  0.21891  0.27673  0.15463  0.14295  0.20573  0.25550  0.22678  0.24759  0.26910  0.33001  0.38565  0.26285  0.37204  0.40007  0.17823  0.20024  0.22629  0.27428  0.37077  0.25565  0.28075  0.29989  0.35608  0.25394  0.27785  0.29717  0.33833  0.28658  0.37832  0.40821  0.19531  0.20648  0.20264  0.29082  0.19111  0.20350  0.19805  0.28436  0.19269  0.19176  0.29621  0.15282  0.16123  0.17273  0.27381  0.18932  0.22757  0.21778  0.23609  0.26398  0.37945  0.19812  0.20467  0.21068  0.26788  0.22247  0.25496  0.25475  0.23153  0.21272  0.37359  0.27847  0.29330  0.21515  0.28393  0.40751  0.22409  0.23667  0.19467  0.23710  0.28778  0.15282  0.18556  0.19812  0.40339  0.00000  0.20467
syst_unc_shape_central_dn =  0.13103  0.15556  0.18791  0.25787  0.33075  0.14783  0.19897  0.21891  0.27673  0.15463  0.14295  0.20573  0.25550  0.22678  0.24759  0.26910  0.33001  0.38565  0.26285  0.37204  0.40007  0.17823  0.20024  0.22629  0.27428  0.37077  0.25565  0.28075  0.29989  0.35608  0.25394  0.27785  0.29717  0.33833  0.28658  0.37832  0.40821  0.19531  0.20648  0.20264  0.29082  0.19111  0.20350  0.19805  0.28436  0.19269  0.19176  0.29621  0.15282  0.16123  0.17273  0.27381  0.18932  0.22757  0.21778  0.23609  0.26398  0.37945  0.19812  0.20467  0.21068  0.26788  0.22247  0.25496  0.25475  0.23153  0.21272  0.37359  0.27847  0.29330  0.21515  0.28393  0.40751  0.22409  0.23667  0.19467  0.23710  0.28778  0.15282  0.18556  0.19812  0.40339  0.00000  0.20467
