# The words after "#" are comments. No need to remove them.


luminosity = 2153.74   # in pb-1 (FIXED)


channels = 45          # total number of channels -> following our search bin definition (FIXED)


sample = ttz        # name of the background: hadtau, lostle, zinv, qcd, ttz





channel             = 1       2       3       4       5       6       7       8       9       10      11      12      13      14      15      16      17      18      19      20      21      22      23      24      25      26      27      28      29      30      31      32      33      34      35      36      37      38      39      40      41      42      43      44      45


rate                = 0.78692 0.28221 0.13756 0.02212 0.26991 0.32517 0.19290 0.10570 0.03684 0.19788 0.30652 0.65842 0.29693 0.13846 0.05828 0.24650 0.28478 0.18550 0.05828 0.13929 0.24499 0.24522 0.14911 0.10985 0.25632 0.10222 0.04537 0.16994 0.14843 0.08395 0.07686 0.21320 0.34435 0.07958 0.03594 0.22325 0.14345 0.07512 0.04862 0.20467 0.10404 0.03888 0.03654 0.03269 0.00264


cs_event            = 261     94      46      7       89      109     65      36      12      67      104     219     99      46      20      83      96      63      20      47      83      80      49      37      85      34      15      57      50      28      26      72      115     26      12      75      48      25      16      69      34      13      12      11      1


avg_weight          = 0.00302 0.00300 0.00299 0.00316 0.00303 0.00298 0.00297 0.00294 0.00307 0.00295 0.00295 0.00301 0.00300 0.00301 0.00291 0.00297 0.00297 0.00294 0.00291 0.00296 0.00295 0.00307 0.00304 0.00297 0.00302 0.00301 0.00302 0.00298 0.00297 0.00300 0.00296 0.00296 0.00299 0.00306 0.00299 0.00298 0.00299 0.00300 0.00304 0.00297 0.00306 0.00299 0.00305 0.00297 0.00264


syst_unc_pdf_up     = 0.04023 0.01627 0.00963 0.00030 0.01239 0.01471 0.00930 0.00708 0.00102 0.00538 0.01584 0.02614 0.01197 0.00538 0.00191 0.02963 0.00746 0.00808 0.00256 0.00838 0.01802 0.00737 0.00589 0.00388 0.01186 0.00379 0.00320 0.00670 0.00677 0.00451 0.00277 0.00825 0.01151 0.00192 0.00084 0.00821 0.00891 0.00418 0.00469 0.02219 0.00234 0.00395 0.00865 0.01400 0.00062


syst_unc_pdf_down   = 0.04023 0.01627 0.00963 0.00030 0.01239 0.01471 0.00930 0.00708 0.00102 0.00538 0.01584 0.02614 0.01197 0.00538 0.00191 0.02963 0.00746 0.00808 0.00256 0.00838 0.01802 0.00737 0.00589 0.00388 0.01186 0.00379 0.00320 0.00670 0.00677 0.00451 0.00277 0.00825 0.01151 0.00192 0.00084 0.00821 0.00891 0.00418 0.00469 0.02219 0.00234 0.00395 0.00865 0.01400 0.00062


syst_unc_scale_up   = 0.13408 0.04908 0.02624 0.00286 0.03380 0.06496 0.03308 0.01925 0.00578 0.03420 0.05604 0.07737 0.05866 0.02278 0.01094 0.04492 0.03743 0.03172 0.00195 0.02744 0.04628 0.03394 0.03641 0.02031 0.01814 0.00973 0.00459 0.00109 0.01324 0.00488 0.02135 0.01478 0.05096 0.00378 0.00313 0.02674 0.00558 0.00917 0.01066 0.02254 0.01416 0.00258 0.00606 0.00455 0.00129


syst_unc_scale_down = 0.12148 0.04321 0.02231 0.00286 0.03688 0.05950 0.03046 0.01808 0.00551 0.03287 0.04849 0.08519 0.05109 0.02148 0.00910 0.04427 0.03860 0.02757 0.00504 0.02326 0.04041 0.03305 0.02786 0.01745 0.01814 0.01134 0.00513 0.01279 0.01648 0.00839 0.02342 0.02449 0.04782 0.00819 0.00395 0.02954 0.01213 0.00948 0.00861 0.02501 0.01381 0.01036 0.00563 0.00498 0.00264


syst_unc_rate_up    = 0.23607 0.08466 0.04127 0.00664 0.08097 0.09755 0.05787 0.03171 0.01105 0.05936 0.09196 0.19753 0.08908 0.04154 0.01748 0.07395 0.08543 0.05565 0.01748 0.04179 0.07350 0.07357 0.04473 0.03295 0.07689 0.03067 0.01361 0.05098 0.04453 0.02519 0.02306 0.06396 0.10330 0.02387 0.01078 0.06697 0.04303 0.02254 0.01459 0.06140 0.03121 0.01166 0.01096 0.00981 0.00079


syst_unc_rate_down  = 0.23607 0.08466 0.04127 0.00664 0.08097 0.09755 0.05787 0.03171 0.01105 0.05936 0.09196 0.19753 0.08908 0.04154 0.01748 0.07395 0.08543 0.05565 0.01748 0.04179 0.07350 0.07357 0.04473 0.03295 0.07689 0.03067 0.01361 0.05098 0.04453 0.02519 0.02306 0.06396 0.10330 0.02387 0.01078 0.06697 0.04303 0.02254 0.01459 0.06140 0.03121 0.01166 0.01096 0.00981 0.00079
