luminosity = 2153.74
channels = 45
sample = zinv

channel                   =     bin1     bin2     bin3     bin4     bin5     bin6     bin7     bin8     bin9    bin10    bin11    bin12    bin13    bin14    bin15    bin16    bin17    bin18    bin19    bin20    bin21    bin22    bin23    bin24    bin25    bin26    bin27    bin28    bin29    bin30    bin31    bin32    bin33    bin34    bin35    bin36    bin37    bin38    bin39    bin40    bin41    bin42    bin43    bin44    bin45

rate                      =  5.49902  2.01509  0.96004  0.51243  1.86872  2.12941  1.43864  0.80012  0.34987  1.18367  2.71904  1.28760  0.48227  0.22923  0.12542  0.46246  0.52398  0.33153  0.19052  0.34169  0.60538  0.20398  0.09746  0.10800  0.62207  0.18200  0.07791  0.49100  0.35594  0.25440  0.12879  0.77289  0.11768  0.03558  0.01385  0.10868  0.08122  0.04640  0.02824  0.13943  0.03032  0.02514  0.05580  0.01835  0.00147

cs_event                  =     4098     1609      878      543     1532     1622     1148      796      373      953     2792      952      373      213      136      341      381      280      198      299      667      150       85      116      492      206       87      414      306      283      138      788       91       44       17       94       70       60       37      149       31       37       68       26        1
avg_weight                =  0.00134  0.00125  0.00109  0.00094  0.00122  0.00131  0.00125  0.00101  0.00094  0.00124  0.00097  0.00135  0.00129  0.00108  0.00092  0.00136  0.00138  0.00118  0.00096  0.00114  0.00091  0.00136  0.00115  0.00093  0.00126  0.00088  0.00090  0.00119  0.00116  0.00090  0.00093  0.00098  0.00129  0.00081  0.00081  0.00116  0.00116  0.00077  0.00076  0.00094  0.00098  0.00068  0.00082  0.00071  0.00147

stat_unc_up = xxx yy zz
stat_unc_dn = xxx yy zz

syst_unc_shape_central_up =  0.05419  0.18529  0.38869  0.40721  0.05311  0.23456  0.38854  0.40959  0.60480  0.68014  0.70416  0.37433  0.41702  0.53690  0.55250  0.37418  0.44338  0.53680  0.55304  0.75596  0.79661  0.53536  0.66064  0.70143  0.38620  0.42919  0.55073  0.38605  0.43383  0.55241  0.70074  0.79875  0.53511  0.56438  0.66398  0.53500  0.57266  0.66526  0.78931  0.87742  0.65755  0.80029  0.45034  0.59117  0.66490
syst_unc_shape_central_dn =  0.05419  0.18529  0.38869  0.40721  0.05311  0.23456  0.38854  0.40959  0.60480  0.68014  0.70416  0.37433  0.41702  0.53690  0.55250  0.37418  0.44338  0.53680  0.55304  0.75596  0.79661  0.53536  0.66064  0.70143  0.38620  0.42919  0.55073  0.38605  0.43383  0.55241  0.70074  0.79875  0.53511  0.56438  0.66398  0.53500  0.57266  0.66526  0.78931  0.87742  0.65755  0.80029  0.45034  0.59117  0.66490
