channel =  1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37

rate =  0.51397 0.19791 0.08968 0.00618 0.13606 0.24430 0.14534 0.09896 0.01237 0.18245 0.28450 0.52261 0.20719 0.13606 0.04639 0.23811 0.26285 0.21028 0.05566 0.14225 0.24121 0.16667 0.08318 0.03402 0.13575 0.11133 0.08968 0.07112 0.18245 0.32779 0.05566 0.03711 0.18245 0.13297 0.07112 0.03402 0.19482

cs_event =  166 64 29 2 44 79 47 32 4 59 92 169 67 44 15 77 85 68 18 46 78 54 27 11 44 36 29 23 59 106 18 12 59 43 23 11 63

avg_weight =   0.00310  0.00309  0.00309  0.00309  0.00309  0.00309  0.00309  0.00309  0.00309  0.00309  0.00309  0.00309  0.00309  0.00309  0.00309  0.00309  0.00309  0.00309  0.00309  0.00309  0.00309  0.00309  0.00308  0.00309  0.00309  0.00309  0.00309  0.00309  0.00309  0.00309  0.00309  0.00309  0.00309  0.00309  0.00309  0.00309  0.00309

syst_unc_pdf_up =   0.03152  0.00662  0.00487  0.00044  0.00802  0.00887  0.00630  0.00688  0.00008  0.00801  0.01511  0.01760  0.00343  0.00536  0.00259  0.00453  0.00831  0.00800  0.00195  0.00708  0.01873  0.00229  0.00342  0.00174  0.00448  0.00515  0.00363  0.00282  0.00710  0.00938  0.00088  0.00015  0.00560  0.00860  0.00232  0.00427  0.01976

syst_unc_pdf_down =   0.03152  0.00662  0.00487  0.00044  0.00802  0.00887  0.00630  0.00688  0.00008  0.00801  0.01511  0.01760  0.00343  0.00536  0.00259  0.00453  0.00831  0.00800  0.00195  0.00708  0.01873  0.00229  0.00342  0.00174  0.00448  0.00515  0.00363  0.00282  0.00710  0.00938  0.00088  0.00015  0.00560  0.00860  0.00232  0.00427  0.01976

syst_unc_scale_up =   0.08678  0.03352  0.01305  0.00140  0.00394  0.04832  0.02526  0.02088  0.00007  0.03817  0.05533  0.06568  0.03535  0.03196  0.00939  0.05549  0.04377  0.04048  0.00212  0.02781  0.04871  0.01018  0.01613  0.00571  0.00607  0.00718  0.00805  0.01947  0.01351  0.05707  0.00493  0.00049  0.01857  0.00884  0.00254  0.00661  0.02130

syst_unc_scale_down =   0.07843  0.03010  0.01234  0.00467  0.01226  0.04327  0.02282  0.01845  0.00216  0.03392  0.04653  0.07008  0.03281  0.02611  0.00748  0.04975  0.04062  0.03378  0.00480  0.02386  0.04124  0.01018  0.01323  0.00495  0.01279  0.01123  0.01071  0.02250  0.02150  0.04962  0.00493  0.00290  0.02153  0.01297  0.00608  0.00542  0.02393

syst_unc_rate_up =  0.15419 0.05937 0.02690 0.00186 0.04082 0.07329 0.04360 0.02969 0.00371 0.05474 0.08535 0.15678 0.06216 0.04082 0.01392 0.07143 0.07886 0.06308 0.01670 0.04267 0.07236 0.05000 0.02495 0.01020 0.04072 0.03340 0.02690 0.02134 0.05474 0.09834 0.01670 0.01113 0.05474 0.03989 0.02134 0.01020 0.05845

syst_unc_rate_down =  0.15419 0.05937 0.02690 0.00186 0.04082 0.07329 0.04360 0.02969 0.00371 0.05474 0.08535 0.15678 0.06216 0.04082 0.01392 0.07143 0.07886 0.06308 0.01670 0.04267 0.07236 0.05000 0.02495 0.01020 0.04072 0.03340 0.02690 0.02134 0.05474 0.09834 0.01670 0.01113 0.05474 0.03989 0.02134 0.01020 0.05845
