luminosity = 2262
channels = 37
sample = zinv

channel                   =     bin1     bin2     bin3     bin4     bin5     bin6     bin7     bin8     bin9    bin10    bin11    bin12    bin13    bin14    bin15    bin16    bin17    bin18    bin19    bin20    bin21    bin22    bin23    bin24    bin25    bin26    bin27    bin28    bin29    bin30    bin31    bin32    bin33    bin34    bin35    bin36    bin37

rate                      =  5.74161  2.10602  1.00846  0.54104  1.95782  2.24115  1.51197  0.83649  0.36105  1.26153  2.92550  1.37764  0.53046  0.25633  0.14499  0.49176  0.55221  0.35379  0.21945  0.36294  0.65738  0.66639  0.19619  0.09036  0.50408  0.37020  0.27496  0.13106  0.81328  0.13553  0.04864  0.02105  0.11839  0.09329  0.04928  0.02921  0.15658

cs_event                  =     4159     1615      887      536     1569     1664     1152      807      368      951     2826     1039      389      228      163      381      418      299      227      319      705      518      209       97      427      313      296      143      816      111       54       25      106       83       65       36      164
avg_weight                =  0.00138  0.00130  0.00114  0.00101  0.00125  0.00135  0.00131  0.00104  0.00098  0.00133  0.00104  0.00133  0.00136  0.00112  0.00089  0.00129  0.00132  0.00118  0.00097  0.00114  0.00093  0.00129  0.00094  0.00093  0.00118  0.00118  0.00093  0.00092  0.00100  0.00122  0.00090  0.00084  0.00112  0.00112  0.00076  0.00081  0.00095

stat_unc_up = xxx yy zz
stat_unc_dn = xxx yy zz

syst_unc_norm_up          =  0.19412  0.19412  0.19412  0.19412  0.19412  0.19412  0.19412  0.19412  0.19412  0.19412  0.19412  0.19412  0.19412  0.19412  0.19412  0.19412  0.19412  0.19412  0.19412  0.19412  0.19412  0.19412  0.19412  0.19412  0.19412  0.19412  0.19412  0.19412  0.19412  0.19412  0.19412  0.19412  0.19412  0.19412  0.19412  0.19412  0.19412
syst_unc_norm_dn          =  0.19412  0.19412  0.19412  0.19412  0.19412  0.19412  0.19412  0.19412  0.19412  0.19412  0.19412  0.19412  0.19412  0.19412  0.19412  0.19412  0.19412  0.19412  0.19412  0.19412  0.19412  0.19412  0.19412  0.19412  0.19412  0.19412  0.19412  0.19412  0.19412  0.19412  0.19412  0.19412  0.19412  0.19412  0.19412  0.19412  0.19412
syst_unc_shape_central_up =  0.08414  0.18881  0.42445  0.43180  0.09802  0.25114  0.42742  0.43581  0.59502  0.68900  0.69960  0.23943  0.29976  0.48095  0.49315  0.24512  0.34478  0.48295  0.49398  0.69969  0.73613  0.36338  0.40542  0.55501  0.36684  0.41561  0.55802  0.67395  0.78372  0.42941  0.46710  0.60677  0.43274  0.47850  0.60321  0.70571  0.81532
syst_unc_shape_central_dn =  0.08414  0.18881  0.42445  0.43180  0.09802  0.25114  0.42742  0.43581  0.59502  0.68900  0.69960  0.23943  0.29976  0.48095  0.49315  0.24512  0.34478  0.48295  0.49398  0.69969  0.73613  0.36338  0.40542  0.55501  0.36684  0.41561  0.55802  0.67395  0.78372  0.42941  0.46710  0.60677  0.43274  0.47850  0.60321  0.70571  0.81532
syst_unc_shape_stat_up    =  0.14600  0.14600  0.21900  0.23500  0.22100  0.22100  0.22100  0.23900  0.46100  0.46100  0.46100  0.61500  0.61900  0.63800  0.68500  0.61600  0.60800  0.61400  0.68400  0.60900  0.60700  0.58500  0.58500  0.58500  0.58500  0.58500  0.58500  0.58500  0.58500  0.61700  0.72100  0.72100  0.63700  0.64200  0.60200  0.60900  0.61100
syst_unc_shape_stat_dn    =  0.14600  0.14600  0.21900  0.23500  0.22100  0.22100  0.22100  0.23900  0.46100  0.46100  0.46100  0.61500  0.61900  0.63800  0.68500  0.61600  0.60800  0.61400  0.68400  0.60900  0.60700  0.58500  0.58500  0.58500  0.58500  0.58500  0.58500  0.58500  0.58500  0.61700  0.72100  0.72100  0.63700  0.64200  0.60200  0.60900  0.61100
syst_unc_jeu_up           =  0.06453  0.04561  0.05744  0.04233  0.07211  0.07805  0.05540  0.04109  0.06045  0.08327  0.04937  0.05533  0.09385  0.06303  0.07233  0.07767  0.06096  0.07095  0.03540  0.11535  0.07071  0.09764  0.10440  0.03526  0.12892  0.12640  0.11480  0.19876  0.09766  0.16000  0.05484  0.17199  0.08217  0.06745  0.10897  0.22901  0.22901
syst_unc_jeu_dn           =  0.06453  0.04561  0.05744  0.04233  0.07211  0.07805  0.05540  0.04109  0.06045  0.08327  0.04937  0.05533  0.09385  0.06303  0.07233  0.07767  0.06096  0.07095  0.03540  0.11535  0.07071  0.09764  0.10440  0.03526  0.12892  0.12640  0.11480  0.19876  0.09766  0.16000  0.05484  0.17199  0.08217  0.06745  0.10897  0.22901  0.22901
syst_unc_meu_up           =  0.01846  0.04079  0.03760  0.06325  0.00535  0.02027  0.04664  0.05238  0.05710  0.02020  0.04131  0.02112  0.03188  0.05020  0.04135  0.01795  0.03886  0.06922  0.06769  0.01135  0.04015  0.02574  0.06682  0.03507  0.00670  0.01157  0.05443  0.02331  0.02985  0.05231  0.06540  0.18840  0.02380  0.06035  0.02862  0.00978  0.00978
syst_unc_meu_dn           =  0.01846  0.04079  0.03760  0.06325  0.00535  0.02027  0.04664  0.05238  0.05710  0.02020  0.04131  0.02112  0.03188  0.05020  0.04135  0.01795  0.03886  0.06922  0.06769  0.01135  0.04015  0.02574  0.06682  0.03507  0.00670  0.01157  0.05443  0.02331  0.02985  0.05231  0.06540  0.18840  0.02380  0.06035  0.02862  0.00978  0.00978
syst_unc_scale_up         =  0.01068  0.00248  0.00076  0.00146  0.01620  0.00740  0.01041  0.00367  0.04066  0.00597  0.00308  0.00852  0.00161  0.00105  0.00561  0.01045  0.00166  0.00934  0.00146  0.00764  0.00327  0.02977  0.04088  0.02095  0.02503  0.00804  0.01873  0.04689  0.01405  0.02518  0.02603  0.01149  0.02013  0.00393  0.01275  0.02004  0.02252
