channel =  1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45

rate =  0.51397 0.19791 0.08968 0.00618 0.13606 0.24430 0.14534 0.09896 0.01237 0.18245 0.28450 0.43262 0.17008 0.11442 0.04639 0.20719 0.25358 0.15771 0.04948 0.12060 0.20719 0.12711 0.08659 0.08968 0.16667 0.08040 0.02474 0.13575 0.11442 0.08349 0.07112 0.17627 0.29068 0.04329 0.02783 0.18245 0.10514 0.04639 0.03092 0.17627 0.05566 0.04639 0.02133 0.02474 0.00618

cs_event =  166 64 29 2 44 79 47 32 4 59 92 140 55 37 15 67 82 51 16 39 67 41 28 29 54 26 8 44 37 27 23 57 94 14 9 59 34 15 10 57 18 15 7 8 2

avg_weight =   0.00310  0.00309  0.00309  0.00309  0.00309  0.00309  0.00309  0.00309  0.00309  0.00309  0.00309  0.00309  0.00309  0.00309  0.00309  0.00309  0.00309  0.00309  0.00309  0.00309  0.00309  0.00310  0.00309  0.00309  0.00309  0.00309  0.00309  0.00309  0.00309  0.00309  0.00309  0.00309  0.00309  0.00309  0.00309  0.00309  0.00309  0.00309  0.00309  0.00309  0.00309  0.00309  0.00305  0.00309  0.00309

syst_unc_pdf_up =   0.03152  0.00662  0.00487  0.00044  0.00802  0.00887  0.00630  0.00688  0.00008  0.00801  0.01511  0.01509  0.00616  0.00455  0.00257  0.00408  0.00831  0.00646  0.00178  0.00638  0.01700  0.00303  0.00821  0.00354  0.00871  0.00329  0.00168  0.00448  0.00513  0.00310  0.00282  0.00686  0.00847  0.00064  0.00083  0.00605  0.00808  0.00275  0.00376  0.01935  0.00115  0.00009  0.01002  0.00096  0.00061

syst_unc_pdf_down =   0.03152  0.00662  0.00487  0.00044  0.00802  0.00887  0.00630  0.00688  0.00008  0.00801  0.01511  0.01509  0.00616  0.00455  0.00257  0.00408  0.00831  0.00646  0.00178  0.00638  0.01700  0.00303  0.00821  0.00354  0.00871  0.00329  0.00168  0.00448  0.00513  0.00310  0.00282  0.00686  0.00847  0.00064  0.00083  0.00605  0.00808  0.00275  0.00376  0.01935  0.00115  0.00009  0.01002  0.00096  0.00061

syst_unc_scale_up =   0.08678  0.03352  0.01305  0.00140  0.00394  0.04832  0.02526  0.02088  0.00007  0.03817  0.05533  0.04617  0.03152  0.02634  0.01079  0.04577  0.04565  0.02560  0.00357  0.02323  0.04254  0.02299  0.01909  0.01749  0.00978  0.01529  0.00396  0.00607  0.00802  0.01085  0.01947  0.01182  0.04961  0.00690  0.00216  0.02436  0.00060  0.00301  0.00709  0.02225  0.00849  0.00296  0.00163  0.00310  0.00016

syst_unc_scale_down =   0.07843  0.03010  0.01234  0.00467  0.01226  0.04327  0.02282  0.01845  0.00216  0.03392  0.04653  0.05378  0.02853  0.02178  0.00821  0.04260  0.04112  0.02296  0.00511  0.02020  0.03575  0.02056  0.01513  0.01477  0.00978  0.01265  0.00346  0.01279  0.01157  0.01160  0.02250  0.02027  0.04349  0.00690  0.00298  0.02440  0.00704  0.00301  0.00551  0.02312  0.00754  0.00296  0.00248  0.00379  0.00051

syst_unc_rate_up =  0.15419 0.05937 0.02690 0.00186 0.04082 0.07329 0.04360 0.02969 0.00371 0.05474 0.08535 0.12978 0.05102 0.03433 0.01392 0.06216 0.07607 0.04731 0.01484 0.03618 0.06216 0.03813 0.02598 0.02690 0.05000 0.02412 0.00742 0.04072 0.03433 0.02505 0.02134 0.05288 0.08721 0.01299 0.00835 0.05474 0.03154 0.01392 0.00928 0.05288 0.01670 0.01392 0.00640 0.00742 0.00186

syst_unc_rate_down =  0.15419 0.05937 0.02690 0.00186 0.04082 0.07329 0.04360 0.02969 0.00371 0.05474 0.08535 0.12978 0.05102 0.03433 0.01392 0.06216 0.07607 0.04731 0.01484 0.03618 0.06216 0.03813 0.02598 0.02690 0.05000 0.02412 0.00742 0.04072 0.03433 0.02505 0.02134 0.05288 0.08721 0.01299 0.00835 0.05474 0.03154 0.01392 0.00928 0.05288 0.01670 0.01392 0.00640 0.00742 0.00186
