luminosity = 2262
channels = 45
sample = zinv

channel                   =     bin1     bin2     bin3     bin4     bin5     bin6     bin7     bin8     bin9    bin10    bin11    bin12    bin13    bin14    bin15    bin16    bin17    bin18    bin19    bin20    bin21    bin22    bin23    bin24    bin25    bin26    bin27    bin28    bin29    bin30    bin31    bin32    bin33    bin34    bin35    bin36    bin37    bin38    bin39    bin40    bin41    bin42    bin43    bin44    bin45

rate                      =  5.74161  2.10602  1.00846  0.54104  1.95782  2.24115  1.51197  0.83649  0.36105  1.26153  2.92550  1.26711  0.48238  0.23068  0.12644  0.45071  0.51748  0.32599  0.19074  0.33909  0.62668  0.19053  0.09415  0.10499  0.64517  0.19180  0.08192  0.49811  0.36530  0.26728  0.13106  0.80316  0.11579  0.03851  0.01396  0.10620  0.08170  0.04610  0.02796  0.14325  0.03177  0.02540  0.06274  0.02001  0.00132

cs_event                  =     4159     1615      887      536     1569     1664     1152      807      368      951     2826      950      346      210      139      346      392      272      193      304      667      153       78      119      499      204       86      421      308      286      143      804       91       45       15       94       69       60       34      147       30       36       69       26        1
avg_weight                =  0.00138  0.00130  0.00114  0.00101  0.00125  0.00135  0.00131  0.00104  0.00098  0.00133  0.00104  0.00133  0.00139  0.00110  0.00091  0.00130  0.00132  0.00120  0.00099  0.00112  0.00094  0.00125  0.00121  0.00088  0.00129  0.00094  0.00095  0.00118  0.00119  0.00093  0.00092  0.00100  0.00127  0.00086  0.00093  0.00113  0.00118  0.00077  0.00082  0.00097  0.00106  0.00071  0.00091  0.00077  0.00132

stat_unc_up = xxx yy zz
stat_unc_dn = xxx yy zz

syst_unc_norm_up          =  0.19412  0.19412  0.19412  0.19412  0.19412  0.19412  0.19412  0.19412  0.19412  0.19412  0.19412  0.19412  0.19412  0.19412  0.19412  0.19412  0.19412  0.19412  0.19412  0.19412  0.19412  0.19412  0.19412  0.19412  0.19412  0.19412  0.19412  0.19412  0.19412  0.19412  0.19412  0.19412  0.19412  0.19412  0.19412  0.19412  0.19412  0.19412  0.19412  0.19412  0.19412  0.19412  0.19412  0.19412  0.19412
syst_unc_norm_dn          =  0.19412  0.19412  0.19412  0.19412  0.19412  0.19412  0.19412  0.19412  0.19412  0.19412  0.19412  0.19412  0.19412  0.19412  0.19412  0.19412  0.19412  0.19412  0.19412  0.19412  0.19412  0.19412  0.19412  0.19412  0.19412  0.19412  0.19412  0.19412  0.19412  0.19412  0.19412  0.19412  0.19412  0.19412  0.19412  0.19412  0.19412  0.19412  0.19412  0.19412  0.19412  0.19412  0.19412  0.19412  0.19412
syst_unc_shape_central_up =  0.08414  0.18881  0.42445  0.43180  0.09802  0.25114  0.42742  0.43581  0.59502  0.68900  0.69960  0.23299  0.29269  0.47683  0.48436  0.23835  0.34001  0.47947  0.48727  0.69727  0.73348  0.38163  0.57024  0.61179  0.36338  0.40611  0.55472  0.36684  0.41516  0.55775  0.67376  0.78341  0.42338  0.45689  0.59589  0.42635  0.47180  0.68858  0.68858  0.68858  0.68858  0.68858  0.68858  0.68858  0.68858
syst_unc_shape_central_dn =  0.08414  0.18881  0.42445  0.43180  0.09802  0.25114  0.42742  0.43581  0.59502  0.68900  0.69960  0.23299  0.29269  0.47683  0.48436  0.23835  0.34001  0.47947  0.48727  0.69727  0.73348  0.38163  0.57024  0.61179  0.36338  0.40611  0.55472  0.36684  0.41516  0.55775  0.67376  0.78341  0.42338  0.45689  0.59589  0.42635  0.47180  0.68858  0.68858  0.68858  0.68858  0.68858  0.68858  0.68858  0.68858
